"Layer","Day","Name","Location","Notes","Priority"
"East Pelion Food","21.8","Alekas Restaurant","Alekas Restaurant, Tsagarada, Pelion, Greece","מסעדה מומלצת בצאגארדה","Good"
"East Pelion Food","21.8","Aggelika Fish Taverna","Aggelika Fish Taverna, Tsagarada, Pelion, Greece","דגים/טברנה באזור צאגארדה","Optional"
"East Pelion Beaches","21.8","Mylopotamos Beach","Mylopotamos Beach, Pelion, Greece","החוף האייקוני; להגיע מוקדם ולבדוק גלים","Must"
"East Pelion Nature","21.8","Stream of Poros","Stream of Poros, Pelion, Greece","מסלולון קצר למפל ובריכות קרות","Optional"
"East Pelion Villages","21.8","Zagora Central Square","Zagora, Pelion, Greece","עצירת ערב בכיכר, בירה/גלידה","Optional"
"East Pelion Beaches","22.8","Damouchari","Damouchari, Pelion, Greece","נמל קטן, חוף, טברנות ואווירה של כפר דייגים","Must"
"East Pelion Food","22.8","Palia Damouchari Restaurant","Palia Damouchari Restaurant, Damouchari, Pelion, Greece","ארוחת צהריים אם עושים Damouchari רגוע","Good"
"East Pelion Beaches","22.8","Fakistra Beach","Fakistra Beach, Pelion, Greece","חוף דרמטי, מתאים יותר כשיש ים טוב ופחות ציוד","Good"
"East Pelion Sea","22.8","Sea Caves of Thetis","Sea Caves of Thetis, Pelion, Greece","שייט/קיאק במזרח; לבדוק גיל מינימום וים","Good"
"East Pelion Beaches","22.8","Kalamaki Beach Pelion","Kalamaki Beach, Pelion, Greece","בריכות סלע לילדים; לא מוסדר","Good"
"East Pelion Beaches","22.8","Plaka Beach Pelion","Plaka Beach, Pelion, Greece","חוף יפה; לנווט גם לפי Eden Hotel אם צריך","Good"
"East Pelion Beaches","22.8","Eden Hotel Pelion","Eden Hotel, Plaka Beach, Pelion, Greece","נקודת ניווט נוחה יותר ל-Plaka","Optional"
"East Pelion Beaches","22-23.8","Chorefto Beach","Chorefto Beach, Pelion, Greece","גיבוי ליום ים רחב במזרח","Optional"
"East Pelion Beaches","22-23.8","Agioi Saranta Beach","Agioi Saranta Beach, Pelion, Greece","חוף יפה במזרח; לבדוק גלים","Good"
"Pelion Train","23.8","Ano Lechonia Train Station","Ano Lechonia Railway Station, Pelion, Greece","יציאת רכבת פיליון 10:00 לפי לו״ז עונתי","Must"
"Pelion Train","23.8","Ano Gatzea Railway Stop","Ano Gatzea Railway Station, Pelion, Greece","עצירת ביניים של הרכבת","Optional"
"Pelion Train / Villages","23.8 / 24.8","Milies","Milies, Pelion, Greece","כפר, רכבת, מסילה וגשר; מתאים גם ביום מעבר","Must"
"Pelion Train / Villages","23.8 / 24.8","Milies Train Station","Milies Railway Station, Pelion, Greece","סיום/חזרה ברכבת, הליכה קצרה על המסילה","Good"
"Pelion Villages","24.8","Vyzitsa","Vyzitsa, Pelion, Greece","עצירה יפה ביום מעבר למערב","Optional"
"West Pelion Base","24-28.8","Seafront Karma Luxury - An Escape From Reality","Seafront Karma Luxury - An Escape From Reality, Kato Gatzea, Pelion, Greece","בסיס הלינה במערב דרך Holihouse; אישור עדכון GY-tE7eELuP ל-24-28.8","Must"
"West Pelion Beaches","24-25.8","Kala Nera","Kala Nera, Pelion, Greece","טיילת, ים רגוע, מסעדות וסופר","Must"
"West Pelion Food","24-25.8","Taverna Rodia","Taverna Rodia, Kala Nera, Pelion, Greece","מסעדה מומלצת תחת גפנים מול הים","Good"
"West Pelion Food","24-25.8","1900 Restaurant Kala Nera","1900 Restaurant, Kala Nera, Pelion, Greece","טברנה/מסעדה בטיילת של קאלה נרה","Optional"
"West Pelion Beaches","25.8","Koropi Beach Pelion","Koropi Beach, Pelion, Greece","חוף רגוע באזור המפרץ","Optional"
"West Pelion Beaches","25.8","Afissos","Afissos, Pelion, Greece","שקיעה וארוחת ערב; מים רגועים","Good"
"West Pelion Beaches","25.8","Costa Kali Beach Bar","Costa Kali Beach Bar, Pelion, Greece","ביץ׳ בר עם צל, מיטות ודשא לפי המלצות","Good"
"West Pelion Beaches","25.8","Olive Beach Pelion","Olive Beach, Pelion, Greece","מפרץ יפה עם מיטות ושמשיות","Optional"
"West Pelion Sea","25-26.8","Tzouris Boats","Tzouris Boats, Kato Gatzea, Pelion, Greece","השכרת סירות; לשקול סקיפר ולבדוק ים בבוקר","Good"
"South West Pelion","26.8","Horto","Horto, Pelion, Greece","כפר מפרץ רגוע בדרך דרומה","Good"
"South West Pelion","26.8","Milina","Milina, Pelion, Greece","עיירת חוף נוחה בדרום מערב","Good"
"South West Pelion","26.8","Tzasteni Beach","Tzasteni Beach, Pelion, Greece","עצירה מצולמת קצרה; לא יום שלם","Good"
"South West Pelion","26.8","Kottes","Kottes, Pelion, Greece","כפר דרומי קטן ומפרץ סירות","Optional"
"South West Pelion Food","26.8","Taverna da Angelo","Taverna da Angelo, Kottes, Pelion, Greece","מסעדת דגים מומלצת; הגעה קצת הרפתקנית","Optional"
"South West Pelion","26.8","Alogoporos","Alogoporos, Pelion, Greece","נקודת יציאה למונית-סירה לאי Trikeri","Optional"
"South West Pelion","26.8","Trikeri Island","Trikeri Island, Greece","אי ללא מכוניות, טברנות ומנזר","Optional"
"Mountain Villages / Volos","27.8","Makrinitsa","Makrinitsa, Pelion, Greece","תצפית קלאסית על וולוס והמפרץ","Must"
"Mountain Villages / Volos","27.8","Aeriko Cafe Makrinitsa","Aeriko Cafe, Makrinitsa, Pelion, Greece","קפה/קינוח עם נוף","Good"
"Mountain Villages / Volos","27.8","Portaria","Portaria, Pelion, Greece","כפר הררי ושביל הקנטאורים","Good"
"Mountain Villages / Volos","27.8","Centaurs' Path Portaria","Centaurs Path, Portaria, Pelion, Greece","הליכה קצרה ומוצלת יחסית","Good"
"Mountain Villages / Volos","27.8","Volos Port Promenade","Volos Port, Volos, Greece","סיבוב ערב, גלידה, חנויות וארוחה","Good"
"Mountain Villages / Volos Food","27.8","MeZen Volos","MeZen, Volos, Greece","ציפוראדיקו מוכר; לבדוק התאמה לילדים ושעות","Optional"
"Athens","28-30.8","Plaka Athens","Plaka, Athens, Greece","ערב ראשון אחרי החזרה מאתונה","Good"
"Athens","28-30.8","Monastiraki Square","Monastiraki Square, Athens, Greece","שיטוט ערב ותצפית אקרופוליס מבחוץ","Good"
"Athens","28-30.8","NS Place Athens","NS Place, Mitropoleos 80, Monastiraki, Athens, Greece","לינה אחרונה באתונה; אישור PMS002250159","Must"
"Athens","29.8","Acropolis of Athens","Acropolis of Athens, Greece","להזמין מוקדם מאוד בבוקר באוגוסט","Must"
"Athens","29.8","Acropolis Museum","Acropolis Museum, Athens, Greece","מוזיאון ממוזג ונוח למשפחות","Must"
"Athens","29.8","Stavros Niarchos Foundation Cultural Center","Stavros Niarchos Foundation Cultural Center, Athens, Greece","פארק, מזרקות ומרחבים בערב","Good"
"Athens","30.8","National Garden Athens","National Garden, Athens, Greece","בוקר קל אם יש זמן לפני טיסה","Optional"
"Athens","30.8","Hellenic Parliament","Hellenic Parliament, Athens, Greece","החלפת משמר ליד הפרלמנט אם מסתדר בזמן","Optional"
"Athens Optional","28-30.8","Splash Waterpark Corinth","Splash Waterpark, Isthmia, Greece","יום מים חלופי מאתונה; לא בדרך לפיליון","Optional"
